RLYCODE,DIVCODE,SECTION,LINE,FRACTURE_DATE,FRACTURE_TIME,RAIL_SECTION,ANNUAL_GMT,SPEED,LAYINGDATE,GMTCARRIED,ASSETTYPE,USFDCLASSIFICATION,USFDTESTDATE,LRRR,KM,METER,AXLELOAD,TRACK_TYPE,STRAIGHT_CURVE,SERVICE_LIFE,FRACTURE_DATE,LAYINGDATE,DURATION
NWR,JP,FL AII,UP,2021-05-05-00.00.00,7:40,52KG,21.62,130,Dec-18,64.84,LWR,GR,2021-02-25-00.00.00,LR,219,839,22.9,LWR,STRAIGHT,525,5/5/2021,12/1/2018,886.00
CR,BSL,BSL-JM,UP,2021-12-05-00.00.00,8:20,60KG,48,130,Jul-19,132.7,LWR,GR,2021-11-10-00.00.00,LR,521,486,22.32,LWR,STRAIGHT,800,12/5/2021,7/1/2019,888.00
ECR,DDU,GHD SEB,UP,2017-12-06-00.00.00,7:35,60KG,45.6,110,Jul-15,126.88,RAIL,GR,2017-11-02-00.00.00,RR,378,357,22.9,LWR,STRAIGHT,800,12/6/2017,7/1/2015,889.00
ECR,SEE,HJP CI,DN,2018-11-07-00.00.00,7:35,52KG,19.56,110,Jun-16,77.55,SEJ,GR,2018-11-01-00.00.00,RR,290,760,22.32,SWR,STRAIGHT,525,11/7/2018,6/1/2016,889.00
CR,NGP,CHJC-MJRI,UP,2019-10-10-00.00.00,11:55,60KG,45.22,130,May-17,153.4,RAIL,GR,2019-08-29-00.00.00,RR,762,376,22.9,SWR,STRAIGHT,800,10/10/2019,5/1/2017,892.00
ER,HWH,NHT-BDAG Link,UP,2016-06-11-00.00.00,10:04,60KG,24.14,110,Jan-14,81.18,RAIL,GR,2015-04-30-00.00.00,LR,113,891,22.32,LWR,CURVE,800,6/11/2016,1/1/2014,892.00
ECR,DNR,PNBE-ARA,UP,2022-11-11-00.00.00,5:30,52KG,24.67,130,Jun-20,34.88,SEJ,GR,2022-10-09-00.00.00,RR,582,997,22.32,LWR,STRAIGHT,525,11/11/2022,6/1/2020,893.00
SECR,NAG,DUG-G,UP,2024-06-13-00.00.00,7:15,60KG,97.207,130,Jan-22,194,CURVE,GR,2024-06-07-00.00.00,RR,953,476,22.32,LWR,STRAIGHT,800,6/13/2024,1/1/2022,894.00
SECR,R,BSP-R,MID,2021-09-11-00.00.00,11:05,60KG,31.54,130,Apr-19,80.18,LWR,GR,2021-06-29-00.00.00,LR,824,466,22.9,LWR,CURVE,800,9/11/2021,4/1/2019,894.00
SECR,R,R-DUG,UP,2021-06-13-00.00.00,7:45,60KG,72.03,130,Jan-19,180.85,POINTS AND CROSSING,GR,2021-06-07-00.00.00,RR,857,441,22.9,LWR,STRAIGHT,800,6/13/2021,1/1/2019,894.00
WR,BRC,SMLA-GDA,DN,2018-01-11-00.00.00,1:38,60KG,34.72,130,Aug-15,84.59,RAIL,GR,2017-11-22-00.00.00,LR,459,752,22.32,LWR,STRAIGHT,800,1/11/2018,8/1/2015,894.00
NR,LKO,ABP-FD,DN,2019-05-15-00.00.00,6:00,52KG,,100,Dec-16,82.44,LWR,GR,2019-03-02-00.00.00,RR,918,540,22.32,LWR,STRAIGHT,525,5/15/2019,12/1/2016,895.00
SECR,BSP,APR-NKJ,UP,2024-12-14-00.00.00,0:25,60KG,64.567,100,Jul-22,196,CURVE,GR,2024-11-05-00.00.00,LR,891,505,22.9,LWR,STRAIGHT,800,12/14/2024,7/1/2022,897.00
SECR,BSP,CPH-BSP,UP,2020-12-15-00.00.00,13:30,60KG,86.99,130,Jul-18,205.94,LWR,GR,2020-11-26-00.00.00,LR,712,840,22.32,SWR,STRAIGHT,800,12/15/2020,7/1/2018,898.00
SECR,BSP,JSG-CPH,DN,2021-06-17-00.00.00,10:50,60KG,71.27,130,Jan-19,186.36,LWR,GR,2021-06-01-00.00.00,LR,530,581,25,LWR,STRAIGHT,800,6/17/2021,1/1/2019,898.00
ER,ASN,UDL-ASN,DN 2,2023-06-19-00.00.00,8:35,60KG,42.617,130,Jan-21,64.29,CURVE,GR,2023-05-31-00.00.00,RR,197,805,22.32,SWR,CURVE,800,6/19/2023,1/1/2021,899.00
ECR,DDU,DDU-CAR,DN,2021-10-17-00.00.00,8:28,60KG,62.4,130,May-19,166.08,LWR,GR,2021-09-22-00.00.00,LR,677,244,22.32,LWR,STRAIGHT,800,10/17/2021,5/1/2019,900.00
ECR,SEE,HJP CI,DN,2023-02-18-00.00.00,14:55,60KG,26.817,110,Sep-20,64.7,CURVE,GR,2023-01-24-00.00.00,RR,296,706,22.32,SWR,STRAIGHT,800,2/18/2023,9/1/2020,900.00
SECR,NAG,DUG-G,UP,2021-03-19-00.00.00,6:24,60KG,74.01,130,Oct-18,190.4,POINTS AND CROSSING,GR,2021-02-02-00.00.00,RR,936,30,22.32,SWR,STRAIGHT,800,3/19/2021,10/1/2018,900.00
SCR,SC,MLY-BN,UP,2017-10-19-00.00.00,7:30,60KG,56.08,130,May-15,146.57,RAIL,GR,2017-09-06-00.00.00,LR,213,516,22.32,SWR,STRAIGHT,800,10/19/2017,5/1/2015,902.00
ECR,DDU,SSM-DDU,UP,2018-07-24-00.00.00,5:50,60KG,61.4,130,Feb-16,193.33,RAIL,GR,2018-07-19-00.00.00,LR,586,561,22.32,SWR,STRAIGHT,800,7/24/2018,2/1/2016,904.00
SER,KGP,KGP-ROP,UP,2019-12-22-00.00.00,7:10,60KG,45.68,130,Jul-17,62.6,LWR,GR,2019-12-05-00.00.00,LR,145,189,25,LWR,STRAIGHT,800,12/22/2019,7/1/2017,904.00
NCR,JHS,KID-BZM,DN,2018-08-23-00.00.00,9:10,52KG,,100,Mar-16,36.44,POINTS AND CROSSING,GR,2018-07-27-00.00.00,LR,1337,373,22.32,LWR,CURVE,525,8/23/2018,3/1/2016,905.00
CR,BSL,BSL-KNW,DN,2019-04-26-00.00.00,18:30,60KG,31.22,110,Nov-16,71.11,POINTS AND CROSSING,GR,2019-03-09-00.00.00,LR,478,832,22.32,SWR,STRAIGHT,800,4/26/2019,11/1/2016,906.00
ER,MLDT,AZ-NFK,UP,2024-04-26-00.00.00,18:21,52KG,18.08,90,Nov-21,21,POINTS AND CROSSING,GR,2024-01-15-00.00.00,LR,223,827,22.32,LWR,CURVE,525,4/26/2024,11/1/2021,907.00
NR,UMB,RPJ- DUI,DN,2023-02-25-00.00.00,8:45,52KG,2.018,110,Sep-20,81.95,CURVE,GR,2023-02-20-00.00.00,LR,21,37,22.9,FP/SR,STRAIGHT,525,2/25/2023,9/1/2020,907.00
NCR,PRYJ,PRYJ-CNBI,DN,2016-05-28-00.00.00,7:15,60KG,52.49,130,Dec-13,221.27,RAIL,GR,2016-04-01-00.00.00,LR,983,640,22.32,LWR,STRAIGHT,800,5/28/2016,12/1/2013,909.00
SECR,BSP,BSP-APR,UP,2020-12-26-00.00.00,10:35,60KG,49.87,100,Jul-18,123.33,SEJ,GR,2020-12-02-00.00.00,LR,791,653,22.32,LWR,CURVE,800,12/26/2020,7/1/2018,909.00
SECR,NAG,DUG-G,UP,2017-05-29-00.00.00,8:45,60KG,73.99,130,Dec-14,174.54,RAIL,GR,2017-05-05-00.00.00,LR,954,972,22.32,LWR,CURVE,800,5/29/2017,12/1/2014,910.00
ECOR,KUR,TMKA-JKPR,UP,2018-04-30-00.00.00,6:20,60KG,15.76,110,Nov-15,40.6,RAIL,GR,2018-02-02-00.00.00,RR,157,86,25,LWR,STRAIGHT,800,4/30/2018,11/1/2015,911.00
SECR,R,R-TIG,DN,2021-01-29-00.00.00,1:40,60KG,29.61,110,Aug-18,72.9,LWR,GR,2020-12-23-00.00.00,LR,25,297,22.9,LWR,STRAIGHT,800,1/29/2021,8/1/2018,912.00
ER,HWH,Bally-Bandel,DN,2024-01-01-00.00.00,6:50,52KG,7.963,100,Jul-21,52,RAIL,GR,2023-11-25-00.00.00,LR,21,355,22.32,FP/SR,CURVE,525,1/1/2024,7/1/2021,914.00
CR,NGP,GDYA-AMF,UP,2019-08-07-00.00.00,9:45,60KG,39.44,130,Feb-17,96.17,SEJ,GR,2019-07-12-00.00.00,LR,858,506,22.9,LWR,STRAIGHT,800,8/7/2019,2/1/2017,917.00
SR,MAS,WJR - KPD,UP,2020-06-07-00.00.00,5:00,60KG,22.68,130,Dec-17,466.02,SEJ,GR,2020-04-02-00.00.00,RR,125,368,22.9,LWR,CURVE,800,6/7/2020,12/1/2017,919.00
NCR,AGRA,JAB(W line AF) -BXN,SL,2018-01-06-00.00.00,21:05,52KG,27.99,110,Jul-15,85.88,RAIL,GR,2017-11-18-00.00.00,RR,34,590,22.9,LWR,STRAIGHT,525,1/6/2018,7/1/2015,920.00
SECR,BSP,BSP-APR,UP,2024-01-07-00.00.00,23:45,60KG,54.35,100,Jul-21,121,SEJ,GR,2023-11-28-00.00.00,RR,739,480,22.32,LWR,STRAIGHT,800,1/7/2024,7/1/2021,920.00
SECR,R,BSP-R,DN,2020-05-09-00.00.00,12:25,60KG,52.75,130,Nov-17,132.48,LWR,GR,2020-05-02-00.00.00,LR,749,620,22.9,SWR,CURVE,800,5/9/2020,11/1/2017,920.00
NFR,KIR,AUB-BOE,UP,2021-05-13-00.00.00,21:00,52KG,44.74,110,Nov-18,405.03,SEJ,GR,2021-04-19-00.00.00,RR,95,826,22.9,LWR,STRAIGHT,525,5/13/2021,11/1/2018,924.00
SECR,BSP,APR-NKJ,UP,2020-01-11-00.00.00,0:30,60KG,71.96,100,Jul-17,181.41,SEJ,GR,2019-12-31-00.00.00,RR,941,488,22.9,LWR,STRAIGHT,800,1/11/2020,7/1/2017,924.00
SECR,R,R-DUG,DN,2020-11-10-00.00.00,6:45,60KG,63.6,130,May-18,165.39,LWR,GR,2020-11-05-00.00.00,LR,840,432,22.9,LWR,STRAIGHT,800,11/10/2020,5/1/2018,924.00
SER,KGP,KGP-ROP,UP 1,2025-09-11-00.00.00,7:49,60KG,36.763,130,Mar-23,92,CURVE,GR,2025-08-30-00.00.00,RR,128,510,25,SWR,STRAIGHT,800,9/11/2025,3/1/2023,925.00
ECR,DHN,BRKA-GHD,UP,2021-03-15-00.00.00,6:35,60KG,64.05,100,Sep-18,165.46,SEJ,GR,2021-02-08-00.00.00,RR,197,590,22.9,LWR,CURVE,800,3/15/2021,9/1/2018,926.00
ECR,SEE,KGG-BJU,DN,2021-08-15-00.00.00,14:00,52KG,25.89,110,Feb-19,46.22,LWR,GR,2021-08-04-00.00.00,RR,130,494,22.32,SWR,STRAIGHT,525,8/15/2021,2/1/2019,926.00
NWR,JU,FL-MKN,DN,2021-04-15-00.00.00,6:20,52KG,,110,Oct-18,85.03,LWR,GR,2021-03-12-00.00.00,RR,14,447,22.9,LWR,STRAIGHT,525,4/15/2021,10/1/2018,927.00
WCR,KOTA,SWM GGC,DN,2018-10-16-00.00.00,7:35,60KG,56.15,130,Apr-16,118.92,LWR,GR,2018-10-08-00.00.00,LR,1054,499,22.9,FP/SR,STRAIGHT,800,10/16/2018,4/1/2016,928.00
NCR,AGRA,AGC-RKM,DN,2015-01-16-00.00.00,12:42,60KG,61.21,160,Jul-12,188.27,RAIL,GR,2014-12-24-00.00.00,LR,1344,805,22.9,LWR,STRAIGHT,800,1/16/2015,7/1/2012,929.00
SCR,BZA,NDD-SLO,UP,2017-09-15-00.00.00,0:00,52KG,56.84,130,Mar-15,141.63,RAIL,GR,2017-08-13-00.00.00,LR,627,577,22.32,SWR,STRAIGHT,525,9/15/2017,3/1/2015,929.00
ECOR,WAT,NWP-VZM,UP,2019-09-18-00.00.00,4:40,60KG,51.31,130,Mar-17,601.34,SEJ,GR,2019-07-28-00.00.00,LR,775,43,25,LWR,STRAIGHT,800,9/18/2019,3/1/2017,931.00
WCR,KOTA,GGC BXN,UP,2017-12-18-00.00.00,7:00,60KG,35.2,130,Jun-15,100.46,RAIL,GR,2017-11-11-00.00.00,RR,1155,945,22.9,LWR,STRAIGHT,800,12/18/2017,6/1/2015,931.00
NR,MB,BLM-RAC,UP,2023-06-21-00.00.00,6:45,60KG,43.098,110,Dec-20,121.17,CURVE,GR,2023-05-09-00.00.00,RR,1203,515,22.32,LWR,CURVE,800,6/21/2023,12/1/2020,932.00
SECR,BSP,JSG-CPH,DN,2021-07-21-00.00.00,16:30,60KG,71.27,130,Jan-19,192.58,LWR,GR,2021-07-20-00.00.00,RR,545,549,25,LWR,STRAIGHT,800,7/21/2021,1/1/2019,932.00
SECR,NAG,DUG-G,UP,2025-06-20-00.00.00,10:08,60KG,97.207,130,Dec-22,233,SEJ,GR,2025-06-17-00.00.00,LR,954,960,22.32,LWR,CURVE,800,6/20/2025,12/1/2022,932.00
ECOR,WAT,NWP-VZM,UP,2021-06-26-00.00.00,22:55,60KG,56.04,130,Dec-18,622.16,SEJ,GR,2021-05-28-00.00.00,RR,762,466,25,LWR,STRAIGHT,800,6/26/2021,12/1/2018,938.00
SECR,BSP,CPH-BSP,UP,2022-11-25-00.00.00,2:45,60KG,88.74,130,May-20,222.66,CURVE,GR,2022-11-09-00.00.00,LR,676,1018,22.32,LWR,STRAIGHT,800,11/25/2022,5/1/2020,938.00
SWR,UBL,JRU-UBL,UP,2018-10-26-00.00.00,9:00,52KG,14.01,100,Apr-16,36.89,SEJ,GR,2018-06-02-00.00.00,LR,418,662,22.9,LWR,STRAIGHT,525,10/26/2018,4/1/2016,938.00
WR,BRC,BH-MYG,DN,2021-09-25-00.00.00,9:23,60KG,53.09,130,Mar-19,250.7,LWR,GR,2021-08-29-00.00.00,RR,337,806,22.32,SWR,STRAIGHT,800,9/25/2021,3/1/2019,939.00
SECR,BSP,JSG-CPH,UP,2018-10-29-00.00.00,5:40,60KG,73.92,130,Apr-16,485.41,SEJ,GR,2018-10-12-00.00.00,LR,550,161,25,LWR,CURVE,800,10/29/2018,4/1/2016,941.00
CR,BSL,JM - AK,UP,2023-04-01-00.00.00,14:38,60KG,55.797,130,Sep-20,97.41,CURVE,GR,2023-03-11-00.00.00,RR,571,834,22.32,LWR,STRAIGHT,800,4/1/2023,9/1/2020,942.00
ECOR,WAT,KRPU-KRDL,SL,2020-12-29-00.00.00,5:15,60KG,34.48,75,Jun-18,71.56,SEJ,GR,2020-10-18-00.00.00,RR,203,138,25,FP/SR,CURVE,800,12/29/2020,6/1/2018,942.00
ECOR,KUR,BRAG-KUR,MID,2019-01-30-00.00.00,9:53,60KG,40.82,130,Jul-16,132.25,POINTS AND CROSSING,GR,2019-01-26-00.00.00,LR,423,39,25,LWR,STRAIGHT,800,1/30/2019,7/1/2016,943.00
NR,MB,AMG-BLM,DN,2020-08-02-00.00.00,7:35,60KG,29.89,110,Jan-18,82.44,LWR,GR,2020-05-05-00.00.00,LR,1132,715,22.32,SWR,STRAIGHT,800,8/2/2020,1/1/2018,944.00
NWR,JU,LN-SMR,SL,2021-09-02-00.00.00,7:40,52KG,43.49,110,Feb-19,102.84,LWR,GR,2021-08-24-00.00.00,RR,664,696,22.32,LWR,STRAIGHT,525,9/2/2021,2/1/2019,944.00
ECOR,WAT,NWP-VZM,UP,2018-03-03-00.00.00,3:50,60KG,50.13,130,Aug-15,116.06,RAIL,GR,2018-02-08-00.00.00,RR,804,162,25,LWR,CURVE,800,3/3/2018,8/1/2015,945.00
NR,DLI,MTJ-OKA,DN,2021-12-01-00.00.00,3:30,60KG,75.68,160,May-19,175.28,SEJ,GR,2021-10-07-00.00.00,RR,1496,34,22.9,LWR,CURVE,800,12/1/2021,5/1/2019,945.00
SECR,BSP,APR-BRND,UP,2020-06-03-00.00.00,10:00,60KG,38.38,105,Nov-17,100.71,LWR,GR,2020-05-04-00.00.00,RR,880,105,22.32,LWR,STRAIGHT,800,6/3/2020,11/1/2017,945.00
CR,CSTM,CLA-VSH,DN Harbour Line,2017-10-02-00.00.00,8:00,60KG,34.54,80,Mar-15,57.11,RAIL,GR,2017-09-19-00.00.00,RR,20,9567,22.32,LWR,STRAIGHT,800,10/2/2017,3/1/2015,946.00
ECOR,KUR,BRAG-KUR,DN,2019-02-02-00.00.00,6:20,60KG,34.46,130,Jul-16,82.81,SEJ,GR,2018-12-10-00.00.00,RR,455,569,25,FP/SR,STRAIGHT,800,2/2/2019,7/1/2016,946.00
ECOR,KUR,KUR-NWP,UP,2023-12-05-00.00.00,7:35,60KG,32.828,130,May-21,110,SEJ,GR,2023-11-23-00.00.00,LR,612,485,25,SWR,STRAIGHT,800,12/5/2023,5/1/2021,948.00
WR,BRC,MYG-VS,UP,2020-01-05-00.00.00,2:02,60KG,37.33,130,Jun-17,155.26,SEJ,GR,2019-12-27-00.00.00,RR,384,5128,22.32,LWR,CURVE,800,1/5/2020,6/1/2017,948.00
NER,LJN,GKP MUR,DN,2020-01-07-00.00.00,9:40,52KG,36.73,110,Jun-17,119.64,SEJ,GR,2019-11-13-00.00.00,LR,552,36,22.9,LWR,STRAIGHT,525,1/7/2020,6/1/2017,950.00
NR,UMB,KKDE-UMB,UP,2020-02-06-00.00.00,2:20,60KG,55.29,130,Jul-17,203.1,SEJ,GR,2020-01-31-00.00.00,RR,196,392,22.9,LWR,STRAIGHT,800,2/6/2020,7/1/2017,950.00
ECOR,SBP,TIG-SPRD,DN,2023-11-08-00.00.00,7:50,60KG,52.406,110,Apr-21,692.33,SEJ,GR,2023-09-30-00.00.00,RR,253,905,25,LWR,CURVE,800,11/8/2023,4/1/2021,951.00
ECR,DDU,GYA-SEB,DN,2017-02-06-00.00.00,8:22,60KG,36.42,130,Jul-14,112.11,RAIL,GR,2017-01-04-00.00.00,LR,516,748,22.32,SWR,STRAIGHT,800,2/6/2017,7/1/2014,951.00
ECR,DDU,GYA-SEB,DN,2017-02-06-00.00.00,8:22,60KG,36.42,130,Jul-14,112.11,RAIL,GR,2017-01-04-00.00.00,LR,516,748,22.32,SWR,STRAIGHT,800,2/6/2017,7/1/2014,951.00
ECR,DDU,GYA-SEB,DN,2017-02-06-00.00.00,8:22,60KG,36.42,130,Jul-14,112.11,RAIL,GR,2017-01-04-00.00.00,LR,516,748,22.32,SWR,STRAIGHT,800,2/6/2017,7/1/2014,951.00
CR,SUR,DD-KWV,UP,2020-11-12-00.00.00,11:45,60KG,15.47,130,Apr-18,126.91,LWR,GR,2020-10-05-00.00.00,RR,316,838,25,LWR,STRAIGHT,800,11/12/2020,4/1/2018,956.00
NER,BSB,SV-BTT,DN,2025-02-12-00.00.00,2:32,52KG,24.327,110,Jul-22,70,SEJ,GR,2025-02-10-00.00.00,LR,406,778,22.9,LWR,CURVE,525,2/12/2025,7/1/2022,957.00
NWR,JU,LN-SMR,SL,2021-09-15-00.00.00,6:20,52KG,43.49,110,Feb-19,102.84,LWR,GR,2021-08-24-00.00.00,LR,663,725,22.32,FP/SR,STRAIGHT,525,9/15/2021,2/1/2019,957.00
CR,BSL,MMR-CSN,UP,2023-02-14-00.00.00,9:15,60KG,43.076,130,Jul-20,95.81,CURVE,GR,2023-01-24-00.00.00,RR,265,483,22.32,LWR,STRAIGHT,800,2/14/2023,7/1/2020,958.00
ECR,DDU,SSM-DDU,DN,2018-11-16-00.00.00,7:45,60KG,32.01,130,Apr-16,99.44,LWR,GR,2018-11-05-00.00.00,LR,606,605,22.32,LWR,STRAIGHT,800,11/16/2018,4/1/2016,959.00
NR,DLI,MTC-TPZ,DN,2021-01-15-00.00.00,18:40,52KG,20.16,110,Jun-18,41.37,SEJ,GR,2020-08-13-00.00.00,LR,145,900,22.32,LWR,CURVE,525,1/15/2021,6/1/2018,959.00
WR,BRC,MYG-VS,UP,2019-04-18-00.00.00,8:30,60KG,54.18,130,Sep-16,151.23,POINTS AND CROSSING,GR,2019-04-01-00.00.00,RR,374,154,22.32,LWR,STRAIGHT,800,4/18/2019,9/1/2016,959.00
ECR,DHN,BRKA-GHD,Rev Line,2020-08-21-00.00.00,3:10,60KG,64.67,100,Jan-18,169.23,SEJ,GR,2020-07-18-00.00.00,RR,312,127,22.9,LWR,STRAIGHT,800,8/21/2020,1/1/2018,963.00
ECR,DHN,BRKA-GHD,UP,2022-11-20-00.00.00,6:45,60KG,73.2,100,Apr-20,170.8,SEJ,GR,2022-11-14-00.00.00,RR,235,707,22.9,LWR,CURVE,800,11/20/2022,4/1/2020,963.00
ECR,DNR,FUT-PNBE,DN,2017-07-21-00.00.00,22:30,60KG,31.28,130,Dec-14,120.48,RAIL,GR,2017-06-26-00.00.00,LR,533,740,22.32,LWR,STRAIGHT,800,7/21/2017,12/1/2014,963.00
SECR,NAG,DUG-G,UP,2016-08-21-00.00.00,7:35,60KG,71.57,130,Jan-14,181.55,RAIL,GR,2016-08-06-00.00.00,RR,962,747,22.32,LWR,STRAIGHT,800,8/21/2016,1/1/2014,963.00
ECR,DDU,SSM-DDU,UP,2018-09-23-00.00.00,16:40,60KG,61.4,130,Feb-16,193.33,LWR,GR,2018-08-26-00.00.00,LR,585,653,22.32,SWR,STRAIGHT,800,9/23/2018,2/1/2016,965.00
SWR,MYS,JRU-UBL,UP,2018-02-22-00.00.00,7:50,52KG,14.71,100,Jul-15,36.45,RAIL,GR,2017-11-29-00.00.00,RR,315,933,22.9,LWR,STRAIGHT,525,2/22/2018,7/1/2015,967.00
SWR,MYS,JRU-UBL,UP,2018-02-22-00.00.00,7:50,52KG,14.71,100,Jul-15,36.45,RAIL,GR,2017-11-29-00.00.00,RR,315,933,22.9,LWR,STRAIGHT,525,2/22/2018,7/1/2015,967.00
ECOR,WAT,NWP-VZM,UP,2018-12-26-00.00.00,17:05,60KG,50.13,130,May-16,705.99,SEJ,GR,2018-11-21-00.00.00,RR,810,740,25,FP/SR,CURVE,800,12/26/2018,5/1/2016,969.00
SER,CKP,RKSN - BNDM A,DN,2016-01-26-00.00.00,16:10,60KG,52.72,130,Jun-13,149.82,RAIL,GR,2016-01-22-00.00.00,LR,292,159,22.9,SWR,STRAIGHT,800,1/26/2016,6/1/2013,969.00
ECOR,WAT,KTV-SCMN,IIIrd Line,2018-02-25-00.00.00,6:00,60KG,39.89,130,Jul-15,545.62,RAIL,GR,2018-01-05-00.00.00,LR,865,7,25,LWR,STRAIGHT,800,2/25/2018,7/1/2015,970.00
ECOR,WAT,KTV-SCMN,IIIrd Line,2018-02-25-00.00.00,6:00,60KG,39.89,130,Jul-15,545.62,RAIL,GR,2018-01-05-00.00.00,LR,865,7,25,LWR,STRAIGHT,800,2/25/2018,7/1/2015,970.00
SR,MAS,KPD - JTJ,DN,2023-11-28-00.00.00,5:50,60KG,42.556,130,Apr-21,573,SEJ,GR,2023-09-19-00.00.00,LR,209,125,22.9,LWR,CURVE,800,11/28/2023,4/1/2021,971.00
NFR,RNY,NBQ-KYQ,DN,2022-01-30-00.00.00,9:20,52KG,38.91,110,Jun-19,426.07,SEJ,GR,2022-01-13-00.00.00,LR,130,680,22.9,LWR,STRAIGHT,525,1/30/2022,6/1/2019,974.00
SECR,R,R-DUG,DN,2021-02-05-00.00.00,8:35,60KG,83.3,130,Jun-18,176.06,RAIL,GR,2021-02-01-00.00.00,RR,847,550,22.9,SWR,STRAIGHT,800,2/5/2021,6/1/2018,980.00
CR,SUR,HG-WD,UP,2022-07-09-00.00.00,9:15,60KG,26,130,Nov-19,74.31,LWR,GR,2022-04-28-00.00.00,RR,555,806,22.9,SWR,STRAIGHT,800,7/9/2022,11/1/2019,981.00
NR,FZR,JUC-BES,UP,2018-11-08-00.00.00,17:00,60KG,25.67,110,Mar-16,62.38,SEJ,GR,2018-10-09-00.00.00,LR,439,680,22.32,LWR,STRAIGHT,800,11/8/2018,3/1/2016,982.00
SR,SA,JTJ - MGSJ,DN,2023-07-11-00.00.00,8:50,60KG,35.238,110,Nov-20,66.46,CURVE,GR,2023-07-04-00.00.00,LR,280,663,22.9,FP/SR,STRAIGHT,800,7/11/2023,11/1/2020,982.00
NCR,AGRA,DHO - BHA,DN,2022-12-10-00.00.00,14:50,60KG,66.55,130,Apr-20,166.58,SEJ,GR,2022-10-26-00.00.00,LR,1291,508,22.9,LWR,STRAIGHT,800,12/10/2022,4/1/2020,983.00
SECR,R,BSP-R,UP,2019-01-09-00.00.00,8:00,60KG,78.68,130,May-16,207.78,SEJ,GR,2018-12-26-00.00.00,LR,817,258,22.9,LWR,STRAIGHT,800,1/9/2019,5/1/2016,983.00
NR,DLI,JHI-NRW,UP,2020-02-10-00.00.00,8:45,60KG,42.81,110,Jun-17,111.95,SEJ,GR,2020-01-22-00.00.00,LR,138,678,22.32,LWR,STRAIGHT,800,2/10/2020,6/1/2017,984.00
NR,MB,BE-MB,DN,2018-04-11-00.00.00,17:50,52KG,31.42,100,Aug-15,73.75,RAIL,GR,2018-02-08-00.00.00,LR,1364,915,22.32,LWR,STRAIGHT,525,4/11/2018,8/1/2015,984.00
ECR,DNR,ARA-DLN,UP,2021-08-12-00.00.00,4:00,52KG,20.84,130,Dec-18,64.78,RAIL,GR,2021-08-05-00.00.00,RR,660,689,22.32,LWR,CURVE,525,8/12/2021,12/1/2018,985.00
CR,SUR,DD-KWV,UP,2024-06-13-00.00.00,7:15,60KG,31.934,130,Oct-21,102,CURVE,GR,2024-04-16-00.00.00,RR,324,126,25,LWR,STRAIGHT,800,6/13/2024,10/1/2021,986.00
ECR,SEE,KIR MNE,DN,2018-08-13-00.00.00,9:15,52KG,19.46,110,Dec-15,74.11,LWR,GR,2018-05-19-00.00.00,RR,73,845,22.9,LWR,STRAIGHT,525,8/13/2018,12/1/2015,986.00
NWR,AII,AII MJ,UP,2020-01-12-00.00.00,2:35,52KG,18.59,130,May-17,40.56,SEJ,GR,2019-11-29-00.00.00,RR,363,526,22.9,LWR,STRAIGHT,525,1/12/2020,5/1/2017,986.00
NWR,JP,RE RGS,SL,2021-10-14-00.00.00,9:30,52KG,38.91,110,Feb-19,104.86,LWR,GR,2021-09-20-00.00.00,RR,110,101,22.9,LWR,STRAIGHT,525,10/14/2021,2/1/2019,986.00
SCR,SC,WL-DKJ,UP,2023-01-13-00.00.00,23:30,60KG,41.037,130,May-20,101.2,SEJ,GR,2022-11-28-00.00.00,LR,433,292,22.32,LWR,STRAIGHT,800,1/13/2023,5/1/2020,987.00
NR,DLI,GHH-RE,UP,2018-11-14-00.00.00,7:18,52KG,21.92,110,Mar-16,55.68,SEJ,GR,2018-11-13-00.00.00,LR,47,275,22.9,LWR,STRAIGHT,525,11/14/2018,3/1/2016,988.00
NER,LJN,DAL-STP,SL,2019-11-17-00.00.00,7:20,52KG,5.23,110,Mar-17,6.31,SEJ,GR,2013-03-02-00.00.00,RR,60,736,22.32,LWR,STRAIGHT,525,11/17/2019,3/1/2017,991.00
SECR,NAG,DUG-G,UP,2023-12-18-00.00.00,6:00,60KG,62.564,130,Apr-21,168,CURVE,GR,2023-11-21-00.00.00,LR,880,823,22.32,LWR,STRAIGHT,800,12/18/2023,4/1/2021,991.00
SECR,R,BSP-R,UP,2022-05-19-00.00.00,13:00,60KG,92.92,130,Sep-19,214.89,RAIL,GR,2022-04-27-00.00.00,RR,749,520,22.9,SWR,STRAIGHT,800,5/19/2022,9/1/2019,991.00
CR,CSTM,CSTM-CLA,Slow Line DN,2017-01-18-00.00.00,0:45,60KG,64.54,110,May-14,133.08,RAIL,GR,2016-11-06-00.00.00,RR,2,363,22.32,LWR,CURVE,800,1/18/2017,5/1/2014,993.00
SR,SA,JTJ - MGSJ,DN,2024-01-19-00.00.00,8:30,60KG,37.557,110,May-21,72,CURVE,GR,2024-01-12-00.00.00,LR,309,104,22.9,LWR,CURVE,800,1/19/2024,5/1/2021,993.00
ECR,DHN,BRKA-GHD,UP,2023-01-21-00.00.00,6:45,60KG,86.813,100,May-20,915.84,SEJ,GR,2023-01-08-00.00.00,LR,274,615,22.9,LWR,CURVE,800,1/21/2023,5/1/2020,995.00
