RLYCODE,DIVCODE,SECTION,LINE,FRACTURE_DATE,FRACTURE_TIME,RAIL_SECTION,ANNUAL_GMT,SPEED,LAYINGDATE,GMTCARRIED,ASSETTYPE,USFDCLASSIFICATION,USFDTESTDATE,LRRR,KM,METER,AXLELOAD,TRACK_TYPE,STRAIGHT_CURVE,SERVICE_LIFE,FRACTURE_DATE,LAYINGDATE,DURATION
WCR,JBP,ET JBP,UP,2015-12-25-00.00.00,22:00,60KG,23.04,110,Apr-17,20.28,RAIL,GR,2015-11-15-00.00.00,RR,764,814,22.9,LWR,STRAIGHT,800,12/25/2015,4/1/2017,-463.00
ECOR,WAT,KRPU-KRDL,UP,2015-01-09-00.00.00,7:00,60KG,,75,Apr-16,23.63,RAIL,GR,2014-12-19-00.00.00,LR,412,289,25,LWR,CURVE,800,1/9/2015,4/1/2016,-448.00
WR,BRC,BRC-SMLA,DN,2015-12-13-00.00.00,7:20,60KG,38.83,130,Mar-17,25.89,RAIL,GR,2014-05-17-00.00.00,RR,406,249,22.32,LWR,STRAIGHT,800,12/13/2015,3/1/2017,-444.00
NCR,JHS,AIT BZM,DN,2015-08-18-00.00.00,21:55,52KG,15.58,110,Nov-16,359.61,RAIL,GR,2013-02-16-00.00.00,RR,1269,142,22.32,LWR,STRAIGHT,525,8/18/2015,11/1/2016,-441.00
WCR,JBP,ET JBP,UP,2016-01-23-00.00.00,7:20,60KG,20.28,110,Apr-17,20.28,RAIL,GR,2015-11-15-00.00.00,LR,764,825,22.9,LWR,STRAIGHT,800,1/23/2016,4/1/2017,-434.00
WR,BCT,BSR-BIM,UP,2018-04-09-00.00.00,8:25,60KG,46.72,130,Jun-19,27.25,LWR,GR,2018-03-10-00.00.00,RR,191,816,22.9,LWR,STRAIGHT,800,4/9/2018,6/1/2019,-418.00
SWR,SBC,SBC-ASK,DN,2016-06-16-00.00.00,5:30,60KG,7.96,110,Aug-17,1.33,RAIL,GR,2015-11-23-00.00.00,RR,38,640,22.9,LWR,STRAIGHT,800,6/16/2016,8/1/2017,-411.00
NR,MB,GJL-HPU,DN,2019-01-04-00.00.00,0:30,52KG,25.3,110,Feb-20,4.39,SEJ,GR,2018-11-21-00.00.00,RR,96,814,22.32,SWR,STRAIGHT,525,1/4/2019,2/1/2020,-393.00
ECOR,KUR,KUR-NWP,UP,2016-08-05-00.00.00,7:35,60KG,44.14,130,Sep-17,7.36,RAIL,GR,2016-07-21-00.00.00,RR,601,697,25,LWR,STRAIGHT,800,8/5/2016,9/1/2017,-392.00
ECOR,KUR,KUR-NWP,UP,2016-08-05-00.00.00,3:20,60KG,42.79,130,Sep-17,7.36,RAIL,GR,2016-07-20-00.00.00,RR,602,157,25,LWR,STRAIGHT,800,8/5/2016,9/1/2017,-392.00
